id,title,author,alt_titles,alt_authors,year,publisher,contains_ids
last-spike-berton,The Last Spike,Pierre Berton,,"Berton, Pierre",,,
vimy-berton,Vimy,Pierre Berton,,"Berton, Pierre",,,
never-cry-wolf-mowat,Never Cry Wolf,Farley Mowat,,"Mowat, Farley",,,
lost-in-the-barrens-mowat,Lost in the Barrens,Farley Mowat,,"Mowat, Farley",,,
boat-who-wouldnt-float-mowat,The Boat Who Wouldn't Float,Farley Mowat,,"Mowat, Farley",,,
short-history-of-progress-wright,A Short History of Progress,Ronald Wright,,"Wright, Ronald",,,
guns-germs-and-steel-diamond,"Guns, Germs, and Steel",Jared Diamond,,"Diamond, Jared",,,
collapse-diamond,Collapse,Jared Diamond,,"Diamond, Jared",,,
brief-history-of-time-hawking,A Brief History of Time,Stephen Hawking,,"Hawking, Stephen",,,
universe-in-a-nutshell-hawking,The Universe in a Nutshell,Stephen Hawking,,"Hawking, Stephen",,,
cosmos-sagan,Cosmos,Carl Sagan,,"Sagan, Carl",,,
demon-haunted-world-sagan,The Demon-Haunted World,Carl Sagan,,"Sagan, Carl",,,
selfish-gene-dawkins,The Selfish Gene,Richard Dawkins,,"Dawkins, Richard",,,
god-delusion-dawkins,The God Delusion,Richard Dawkins,,"Dawkins, Richard",,,
immortal-life-of-henrietta-skloot,The Immortal Life of Henrietta Lacks,Rebecca Skloot,,"Skloot, Rebecca",,,
bad-science-goldacre,Bad Science,Ben Goldacre,,"Goldacre, Ben",,,
freakonomics-levitt,Freakonomics,Steven D. Levitt,,"Levitt, Steven D.",,,
superfreakonomics-levitt,SuperFreakonomics,Steven D. Levitt,,"Levitt, Steven D.",,,
nudge-thaler,Nudge,Richard H. Thaler,,"Thaler, Richard H.",,,
predictably-irrational-ariely,Predictably Irrational,Dan Ariely,,"Ariely, Dan",,,
black-swan-taleb,The Black Swan,Nassim Nicholas Taleb,,"Taleb, Nassim Nicholas",,,
antifragile-taleb,Antifragile,Nassim Nicholas Taleb,,"Taleb, Nassim Nicholas",,,
good-to-great-collins,Good to Great,Jim Collins,,"Collins, Jim",,,
built-to-last-collins,Built to Last,Jim Collins,,"Collins, Jim",,,
lean-startup-ries,The Lean Startup,Eric Ries,,"Ries, Eric",,,
zero-to-one-thiel,Zero to One,Peter Thiel,,"Thiel, Peter",,,
innovators-dilemma-christense,The Innovator's Dilemma,Clayton M. Christensen,,"Christensen, Clayton M.",,,
start-with-why-sinek,Start with Why,Simon Sinek,,"Sinek, Simon",,,
leaders-eat-last-sinek,Leaders Eat Last,Simon Sinek,,"Sinek, Simon",,,
7-habits-of-highly-effecti-covey,The 7 Habits of Highly Effective People,Stephen R. Covey,,"Covey, Stephen R.",,,
four-agreements-ruiz,The Four Agreements,Don Miguel Ruiz,,"Ruiz, Don Miguel",,,
power-of-now-tolle,The Power of Now,Eckhart Tolle,,"Tolle, Eckhart",,,
new-earth-tolle,A New Earth,Eckhart Tolle,,"Tolle, Eckhart",,,
subtle-art-of-not-giving-a-manson,The Subtle Art of Not Giving a F*ck,Mark Manson,The Subtle Art of Not Giving a Fuck,"Manson, Mark",,,
cant-hurt-me-goggins,Can't Hurt Me,David Goggins,,"Goggins, David",,,
deep-work-newport,Deep Work,Cal Newport,,"Newport, Cal",,,
digital-minimalism-newport,Digital Minimalism,Cal Newport,,"Newport, Cal",,,
grit-duckworth,Grit,Angela Duckworth,,"Duckworth, Angela",,,
mindset-dweck,Mindset,Carol S. Dweck,,"Dweck, Carol S.",,,
quiet-cain,Quiet,Susan Cain,,"Cain, Susan",,,
daring-greatly-brown,Daring Greatly,Brene Brown,,"Brown, Brene",,,
gifts-of-imperfection-brown,The Gifts of Imperfection,Brene Brown,,"Brown, Brene",,,
braving-the-wilderness-brown,Braving the Wilderness,Brene Brown,,"Brown, Brene",,,
body-keeps-the-score-kolk,The Body Keeps the Score,Bessel van der Kolk,,"Kolk, Bessel van der",,,
why-we-sleep-walker,Why We Sleep,Matthew Walker,,"Walker, Matthew",,,
breath-nestor,Breath,James Nestor,,"Nestor, James",,,
how-not-to-die-greger,How Not to Die,Michael Greger,,"Greger, Michael",,,
omnivores-dilemma-pollan,The Omnivore's Dilemma,Michael Pollan,,"Pollan, Michael",,,
in-defense-of-food-pollan,In Defense of Food,Michael Pollan,,"Pollan, Michael",,,
salt-sugar-fat-moss,Salt Sugar Fat,Michael Moss,,"Moss, Michael",,,
kitchen-confidential-bourdain,Kitchen Confidential,Anthony Bourdain,,"Bourdain, Anthony",,,
medium-raw-bourdain,Medium Raw,Anthony Bourdain,,"Bourdain, Anthony",,,
educated-a-memoir-westover,Educated: A Memoir,Tara Westover,,"Westover, Tara",,,
glass-castle-walls,The Glass Castle,Jeannette Walls,,"Walls, Jeannette",,,
wild-strayed,Wild,Cheryl Strayed,,"Strayed, Cheryl",,,
eat-pray-love-gilbert,"Eat, Pray, Love",Elizabeth Gilbert,,"Gilbert, Elizabeth",,,
big-magic-gilbert,Big Magic,Elizabeth Gilbert,,"Gilbert, Elizabeth",,,
bossypants-fey,Bossypants,Tina Fey,,"Fey, Tina",,,
yes-please-poehler,Yes Please,Amy Poehler,,"Poehler, Amy",,,
is-everyone-hanging-out-wi-kaling,Is Everyone Hanging Out Without Me?,Mindy Kaling,,"Kaling, Mindy",,,
talking-as-fast-as-i-can-graham,Talking as Fast as I Can,Lauren Graham,,"Graham, Lauren",,,
open-agassi,Open,Andre Agassi,,"Agassi, Andre",,,
game-dryden,The Game,Ken Dryden,,"Dryden, Ken",,,
searching-for-bobby-orr-brunt,Searching for Bobby Orr,Stephen Brunt,,"Brunt, Stephen",,,
gretzky-an-autobiography-gretzky,Gretzky: An Autobiography,Wayne Gretzky,,"Gretzky, Wayne",,,
hockey-night-in-canada-young,Hockey Night in Canada,Scott Young,,"Young, Scott",,,
life-richards,Life,Keith Richards,,"Richards, Keith",,,
chronicles-volume-one-dylan,Chronicles: Volume One,Bob Dylan,,"Dylan, Bob",,,
just-kids-smith,Just Kids,Patti Smith,,"Smith, Patti",,,
born-standing-up-martin,Born Standing Up,Steve Martin,,"Martin, Steve",,,
promised-land-obama,A Promised Land,Barack Obama,,"Obama, Barack",,,
dreams-from-my-father-obama,Dreams from My Father,Barack Obama,,"Obama, Barack",,,
audacity-of-hope-obama,The Audacity of Hope,Barack Obama,,"Obama, Barack",,,
spare-harry,Spare,Prince Harry,,"Harry, Prince",,,
greenlights-mcconaughe,Greenlights,Matthew McConaughey,,"McConaughey, Matthew",,,
long-walk-to-freedom-mandela,Long Walk to Freedom,Nelson Mandela,,"Mandela, Nelson",,,
team-of-rivals-goodwin,Team of Rivals,Doris Kearns Goodwin,,"Goodwin, Doris Kearns",,,
wright-brothers-mccullough,The Wright Brothers,David McCullough,,"McCullough, David",,,
1776-mccullough,1776,David McCullough,,"McCullough, David",,,
unbroken-hillenbran,Unbroken,Laura Hillenbrand,,"Hillenbrand, Laura",,,
seabiscuit-hillenbran,Seabiscuit,Laura Hillenbrand,,"Hillenbrand, Laura",,,
in-cold-blood-capote,In Cold Blood,Truman Capote,,"Capote, Truman",,,
devil-in-the-white-city-larson,The Devil in the White City,Erik Larson,,"Larson, Erik",,,
dead-wake-larson,Dead Wake,Erik Larson,,"Larson, Erik",,,
endurance-lansing,Endurance,Alfred Lansing,,"Lansing, Alfred",,,
into-thin-air-krakauer,Into Thin Air,Jon Krakauer,,"Krakauer, Jon",,,
into-the-wild-krakauer,Into the Wild,Jon Krakauer,,"Krakauer, Jon",,,
love-you-forever-munsch,Love You Forever,Robert Munsch,,"Munsch, Robert",,,
paper-bag-princess-munsch,The Paper Bag Princess,Robert Munsch,,"Munsch, Robert",,,
mortimer-munsch,Mortimer,Robert Munsch,,"Munsch, Robert",,,
thomas-snowsuit-munsch,Thomas' Snowsuit,Robert Munsch,,"Munsch, Robert",,,
silverwing-oppel,Silverwing,Kenneth Oppel,,"Oppel, Kenneth",,,
airborn-oppel,Airborn,Kenneth Oppel,,"Oppel, Kenneth",,,
nest-oppel,The Nest,Kenneth Oppel,,"Oppel, Kenneth",,,
restart-korman,Restart,Gordon Korman,,"Korman, Gordon",,,
ungifted-korman,Ungifted,Gordon Korman,,"Korman, Gordon",,,
hatchet-paulsen,The Hatchet,Gary Paulsen,Hatchet,"Paulsen, Gary",,,
bridge-to-terabithia-paterson,Bridge to Terabithia,Katherine Paterson,,"Paterson, Katherine",,,
holes-sachar,Holes,Louis Sachar,,"Sachar, Louis",,,
wonder-palacio,Wonder,R.J. Palacio,,"Palacio, R.J.",,,
outsiders-hinton,The Outsiders,S.E. Hinton,,"Hinton, S.E.",,,
number-the-stars-lowry,Number the Stars,Lois Lowry,,"Lowry, Lois",,,
matilda-dahl,Matilda,Roald Dahl,,"Dahl, Roald",,,
charlie-and-the-chocolate-dahl,Charlie and the Chocolate Factory,Roald Dahl,,"Dahl, Roald",,,
bfg-dahl,The BFG,Roald Dahl,,"Dahl, Roald",,,
james-and-the-giant-peach-dahl,James and the Giant Peach,Roald Dahl,,"Dahl, Roald",,,
fantastic-mr-fox-dahl,Fantastic Mr Fox,Roald Dahl,,"Dahl, Roald",,,
witches-dahl,The Witches,Roald Dahl,,"Dahl, Roald",,,
cat-in-the-hat-seuss,The Cat in the Hat,Dr. Seuss,,"Seuss, Dr.",,,
green-eggs-and-ham-seuss,Green Eggs and Ham,Dr. Seuss,,"Seuss, Dr.",,,
oh-the-places-youll-go-seuss,"Oh, the Places You'll Go!",Dr. Seuss,,"Seuss, Dr.",,,
how-the-grinch-stole-chris-seuss,How the Grinch Stole Christmas!,Dr. Seuss,,"Seuss, Dr.",,,
goodnight-moon-brown,Goodnight Moon,Margaret Wise Brown,,"Brown, Margaret Wise",,,
where-the-wild-things-are-sendak,Where the Wild Things Are,Maurice Sendak,,"Sendak, Maurice",,,
giving-tree-silverstei,The Giving Tree,Shel Silverstein,,"Silverstein, Shel",,,
where-the-sidewalk-ends-silverstei,Where the Sidewalk Ends,Shel Silverstein,,"Silverstein, Shel",,,
guess-how-much-i-love-you-mcbratney,Guess How Much I Love You,Sam McBratney,,"McBratney, Sam",,,
winnie-the-pooh-milne,Winnie-the-Pooh,A.A. Milne,Winnie the Pooh,"Milne, A.A.",,,
tale-of-peter-rabbit-potter,The Tale of Peter Rabbit,Beatrix Potter,,"Potter, Beatrix",,,
secret-garden-burnett,The Secret Garden,Frances Hodgson Burnett,,"Burnett, Frances Hodgson",,,
little-princess-burnett,A Little Princess,Frances Hodgson Burnett,,"Burnett, Frances Hodgson",,,
black-beauty-sewell,Black Beauty,Anna Sewell,,"Sewell, Anna",,,
treasure-island-stevenson,Treasure Island,Robert Louis Stevenson,,"Stevenson, Robert Louis",,,
strange-case-of-dr-jekyll-stevenson,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Dr Jekyll and Mr Hyde|The Strange Case of Doctor Jekyll and Mister Hyde,"Stevenson, Robert Louis",,,
around-the-world-in-eighty-verne,Around the World in Eighty Days,Jules Verne,Around the World in 80 Days,"Verne, Jules",,,
twenty-thousand-leagues-un-verne,Twenty Thousand Leagues Under the Sea,Jules Verne,"20,000 Leagues Under the Sea","Verne, Jules",,,
journey-to-the-center-of-t-verne,Journey to the Center of the Earth,Jules Verne,,"Verne, Jules",,,
time-machine-wells,The Time Machine,H.G. Wells,,"Wells, H.G.",,,
war-of-the-worlds-wells,The War of the Worlds,H.G. Wells,,"Wells, H.G.",,,
invisible-man-wells,The Invisible Man,H.G. Wells,,"Wells, H.G.",,,
robinson-crusoe-defoe,Robinson Crusoe,Daniel Defoe,,"Defoe, Daniel",,,
gullivers-travels-swift,Gulliver's Travels,Jonathan Swift,,"Swift, Jonathan",,,
don-quixote-cervantes,Don Quixote,Miguel de Cervantes,,"Cervantes, Miguel de",,,
three-musketeers-dumas,The Three Musketeers,Alexandre Dumas,,"Dumas, Alexandre",,,
les-miserables-hugo,Les Miserables,Victor Hugo,Les Misérables,"Hugo, Victor",,,
hunchback-of-notre-dame-hugo,The Hunchback of Notre-Dame,Victor Hugo,,"Hugo, Victor",,,
madame-bovary-flaubert,Madame Bovary,Gustave Flaubert,,"Flaubert, Gustave",,,
odyssey-homer,The Odyssey,Homer,,,,,
iliad-homer,The Iliad,Homer,,,,,
divine-comedy-alighieri,The Divine Comedy,Dante Alighieri,,"Alighieri, Dante",,,
hamlet-shakespear,Hamlet,William Shakespeare,,"Shakespeare, William",,,
macbeth-shakespear,Macbeth,William Shakespeare,,"Shakespeare, William",,,
romeo-and-juliet-shakespear,Romeo and Juliet,William Shakespeare,,"Shakespeare, William",,,
king-lear-shakespear,King Lear,William Shakespeare,,"Shakespeare, William",,,
midsummer-nights-dream-shakespear,A Midsummer Night's Dream,William Shakespeare,,"Shakespeare, William",,,
complete-works-of-william-shakespear,The Complete Works of William Shakespeare,William Shakespeare,,"Shakespeare, William",,,
art-of-war-tzu,The Art of War,Sun Tzu,,"Tzu, Sun",,,
prince-machiavell,The Prince,Niccolo Machiavelli,,"Machiavelli, Niccolo",,,
meditations-aurelius,Meditations,Marcus Aurelius,,"Aurelius, Marcus",,,
republic-plato,The Republic,Plato,,,,,
walden-thoreau,Walden,Henry David Thoreau,,"Thoreau, Henry David",,,
moby-dick-melville,Moby-Dick,Herman Melville,"Moby Dick|Moby Dick; or, The Whale","Melville, Herman",,,
old-man-and-the-sea-hemingway,The Old Man and the Sea,Ernest Hemingway,,"Hemingway, Ernest",,,
for-whom-the-bell-tolls-hemingway,For Whom the Bell Tolls,Ernest Hemingway,,"Hemingway, Ernest",,,
farewell-to-arms-hemingway,A Farewell to Arms,Ernest Hemingway,,"Hemingway, Ernest",,,
sun-also-rises-hemingway,The Sun Also Rises,Ernest Hemingway,,"Hemingway, Ernest",,,
east-of-eden-steinbeck,East of Eden,John Steinbeck,,"Steinbeck, John",,,
cannery-row-steinbeck,Cannery Row,John Steinbeck,,"Steinbeck, John",,,
pearl-steinbeck,The Pearl,John Steinbeck,,"Steinbeck, John",,,
oliver-twist-dickens,Oliver Twist,Charles Dickens,,"Dickens, Charles",,,
david-copperfield-dickens,David Copperfield,Charles Dickens,,"Dickens, Charles",,,
christmas-carol-dickens,A Christmas Carol,Charles Dickens,,"Dickens, Charles",,,
bleak-house-dickens,Bleak House,Charles Dickens,,"Dickens, Charles",,,
middlemarch-eliot,Middlemarch,George Eliot,,"Eliot, George",,,
silas-marner-eliot,Silas Marner,George Eliot,,"Eliot, George",,,
tess-of-the-durbervilles-hardy,Tess of the d'Urbervilles,Thomas Hardy,,"Hardy, Thomas",,,
far-from-the-madding-crowd-hardy,Far from the Madding Crowd,Thomas Hardy,,"Hardy, Thomas",,,
northanger-abbey-austen,Northanger Abbey,Jane Austen,,"Austen, Jane",,,
mansfield-park-austen,Mansfield Park,Jane Austen,,"Austen, Jane",,,
age-of-innocence-wharton,The Age of Innocence,Edith Wharton,,"Wharton, Edith",,,
awakening-chopin,The Awakening,Kate Chopin,,"Chopin, Kate",,,
their-eyes-were-watching-g-hurston,Their Eyes Were Watching God,Zora Neale Hurston,,"Hurston, Zora Neale",,,
invisible-man-ellison,Invisible Man,Ralph Ellison,,"Ellison, Ralph",,,
native-son-wright,Native Son,Richard Wright,,"Wright, Richard",,,
colour-purple-walker,The Colour Purple,Alice Walker,The Color Purple,"Walker, Alice",,,
i-know-why-the-caged-bird-angelou,I Know Why the Caged Bird Sings,Maya Angelou,,"Angelou, Maya",,,
on-the-road-kerouac,On the Road,Jack Kerouac,,"Kerouac, Jack",,,
naked-lunch-burroughs,Naked Lunch,William S. Burroughs,,"Burroughs, William S.",,,
one-flew-over-the-cuckoos-kesey,One Flew Over the Cuckoo's Nest,Ken Kesey,,"Kesey, Ken",,,
catch-22-heller,Catch-22,Joseph Heller,Catch 22,"Heller, Joseph",,,
clockwork-orange-burgess,A Clockwork Orange,Anthony Burgess,,"Burgess, Anthony",,,
rich-dad-poor-dad-kiyosaki,Rich Dad Poor Dad,Robert T. Kiyosaki,,"Kiyosaki, Robert T.",,,
wealthy-barber-chilton,The Wealthy Barber,David Chilton,,"Chilton, David",,,
millionaire-next-door-stanley,The Millionaire Next Door,Thomas J. Stanley,,"Stanley, Thomas J.",,,
intelligent-investor-graham,The Intelligent Investor,Benjamin Graham,,"Graham, Benjamin",,,
joy-of-cooking-rombauer,Joy of Cooking,Irma S. Rombauer,,"Rombauer, Irma S.",,,
silver-palate-cookbook-rosso,The Silver Palate Cookbook,Julee Rosso,,"Rosso, Julee",,,
oh-she-glows-every-day-liddon,Oh She Glows Every Day,Angela Liddon,,"Liddon, Angela",,,
